iso_a3,pop_est_dens,life_exp,well_being,inequality,HPI,coords_x,coords_y
AFG,0.034653445791370446,0.12924230228618802,0.11965811965812043,0.7555780939351963,0.16657381894917966,12.0,13.0
ALB,0.10916469125693021,0.34163072598181143,0.3376068376068384,0.2402973540449083,0.5365138469222378,11.0,19.0
ARG,0.010837701804069903,0.3245714148416007,0.4658119658119666,0.23853243864564047,0.5012535639206346,2.0,26.0
ARM,0.08529825631274647,0.3067792741383246,0.18376068376068452,0.3418350817794169,0.2882596193817792,8.0,21.0
AUS,0.00067584004640682,0.3981547111330027,0.5555555555555564,0.07383091313133255,0.18901902501888684,2.0,6.0
AUT,0.08135749102983743,0.38556445896755126,0.5811965811965821,0.05533306218124219,0.39587243416243817,4.0,9.0
BDI,0.2903229291578309,0.08280974062638917,0.07264957264956654,0.8558450681467245,0.06259780271341608,23.0,8.0
BEL,0.28526041218088366,0.3786566393157055,0.517094017094018,0.0830841429548186,0.2448752032696042,25.0,29.0
BEN,0.0634053945803886,0.12322348898953622,0.042735042735043555,0.7901816537545924,0.014429654100281424,2.0,11.0
BFA,0.04637419643254441,0.10866300652338451,0.1452991452991461,0.7672766436599981,0.11426004428372549,12.0,13.0
BGD,0.9983671234851637,0.26349427551988863,0.23504273504273587,0.45420328741699206,0.5728294839786912,12.0,21.0
BGR,0.05372634291104688,0.3003760256610483,0.17094017094017175,0.2948965946108724,0.17139197794489033,18.0,16.0
BIH,0.07352891837578815,0.32755078749144034,0.24786324786324865,0.28151378626011475,0.2797405919885433,2.0,26.0
BLR,0.03803167153094899,0.2638666971011185,0.36324786324786407,0.17481131278711629,0.19997642081509168,2.0,26.0
BLZ,0.009626845472939622,0.2509040233544373,0.4200244200244243,0.26984239564970736,0.47105276894116976,29.0,8.0
BOL,0.00589415313488922,0.22273213277430062,0.4017094017094025,0.6042950245896537,0.23581696325458296,14.0,25.0
BRA,0.018201507671294886,0.30030394406468125,0.517094017094018,0.3411913875474669,0.4823497071218667,27.0,19.0
BTN,0.013492027224295324,0.23832578478838057,0.3504273504273512,0.4383050333456655,0.3543867990679811,27.0,19.0
BWA,0.0012974275187107322,0.1842766011124593,0.24786324786324865,0.4744176547915159,0.08560900170565351,2.0,18.0
CAN,0.001438917326903954,0.3933732985739858,0.5811965811965821,0.08882748355727789,0.24969047529121755,2.0,6.0
CHE,0.15889130982446978,0.4047381636011966,0.6324786324786332,0.0328047766667446,0.48203648076379496,4.0,9.0
CHL,0.016992186676190957,0.386117084539699,0.4786324786324794,0.1968050314769527,0.42242553479473416,2.0,26.0
CHN,0.11730409098993293,0.3178197719818835,0.2863247863247871,0.25973298985844107,0.2896015429791918,2.0,26.0
CIV,0.05244809164664666,0.023066110837468037,0.12286324786324743,0.7955655633721649,0.03715611720582796,2.0,11.0
CMR,0.03168181493596349,0.06847751654873321,0.17094017094017175,0.8466292835473954,0.08769232768203515,18.0,3.0
COD,0.023642239850252596,0.14465575030935024,0.13247863247863326,0.7043942728885605,0.13498113895032116,12.0,13.0
COL,0.032683488873774286,0.2974927618063649,0.4529914529914538,0.378094327101855,0.6243639687165218,27.0,20.0
CRI,0.06786136066800066,0.3624022393349273,0.5683760683760691,0.2017316316472343,0.7142475304034791,20.0,28.0
CYP,0.08055334648439148,0.3709679357032161,0.42735042735042816,0.15306712517818566,0.4010972347064639,2.0,26.0
CZE,0.10869311657687464,0.35169812227441477,0.44017094017094094,0.10002996414588916,0.32443798033824567,2.0,26.0
DEU,0.19520131640544436,0.3803865976285157,0.49145299145299226,0.08018684746516062,0.3810511323526009,2.0,26.0
DJI,0.016937778962155214,0.14898064609137557,0.19658119658119744,0.7358365478296242,0.08165689642515951,12.0,13.0
DNK,0.10693406100106911,0.37148452047718017,0.5940170940170949,0.05487455324353574,0.44494776354138676,4.0,9.0
DOM,0.16499105616246193,0.2905729285551244,0.24786324786324865,0.4984114406186293,0.3920478821363456,8.0,21.0
DZA,0.010337261999518432,0.30518146541885427,0.3504273504273512,0.397445748783387,0.45899168052746003,27.0,19.0
ECU,0.04731287466254426,0.3188289143310228,0.4017094017094025,0.34623198365783986,0.5426828507497753,27.0,19.0
EGY,0.0679875546501027,0.26228090198104265,0.17094017094017175,0.37515473174425473,0.2460939953754135,12.0,13.0
